Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD16A2_006_Line_Y_500m,MYD16A2_006_Sample_X_500m,MYD16A2_006_LE_500m,MYD16A2_006_ET_QC_500m,MYD16A2_006_ET_QC_500m_bitmask,MYD16A2_006_ET_QC_500m_MODLAND,MYD16A2_006_ET_QC_500m_MODLAND_Description,MYD16A2_006_ET_QC_500m_Sensor,MYD16A2_006_ET_QC_500m_Sensor_Description,MYD16A2_006_ET_QC_500m_DeadDetector,MYD16A2_006_ET_QC_500m_DeadDetector_Description,MYD16A2_006_ET_QC_500m_CloudState,MYD16A2_006_ET_QC_500m_CloudState_Description,MYD16A2_006_ET_QC_500m_SCF_QC,MYD16A2_006_ET_QC_500m_SCF_QC_Description
,Ne1,41.16506,-96.47664,2012-04-30,h10v04,2120.0,1768.0,32765.0,10.0,0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-05-08,h10v04,2120.0,1768.0,3350000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-05-16,h10v04,2120.0,1768.0,2690000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-05-24,h10v04,2120.0,1768.0,3890000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-06-01,h10v04,2120.0,1768.0,4260000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-06-09,h10v04,2120.0,1768.0,7780000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-06-17,h10v04,2120.0,1768.0,9350000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-06-25,h10v04,2120.0,1768.0,11310000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-07-03,h10v04,2120.0,1768.0,9630000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
,Ne1,41.16506,-96.47664,2012-07-11,h10v04,2120.0,1768.0,10000000.0,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
